dataset_id,proportion_of_village,cluster_type,n,ratio
1,0.05,hierarchical clustering,4,0.5
1,0.05,k-means,5,0.625
1,0.05,random,5,0.625
1,0.060000000000000005,hierarchical clustering,5,0.625
1,0.060000000000000005,k-means,4,0.5
1,0.060000000000000005,random,5,0.625
1,0.07,hierarchical clustering,6,0.75
1,0.07,k-means,5,0.625
1,0.07,random,5,0.625
1,0.08,hierarchical clustering,6,0.75
1,0.08,k-means,6,0.75
1,0.08,random,5,0.625
1,0.09,hierarchical clustering,6,0.75
1,0.09,k-means,6,0.75
1,0.09,random,6,0.75
1,0.1,hierarchical clustering,7,0.875
1,0.1,k-means,5,0.625
1,0.1,random,5,0.625
1,0.11,hierarchical clustering,7,0.875
1,0.11,k-means,8,1
1,0.11,random,5,0.625
1,0.12000000000000001,hierarchical clustering,7,0.875
1,0.12000000000000001,k-means,6,0.75
1,0.12000000000000001,random,6,0.75
1,0.13,hierarchical clustering,7,0.875
1,0.13,k-means,6,0.75
1,0.13,random,7,0.875
1,0.14,hierarchical clustering,7,0.875
1,0.14,k-means,7,0.875
1,0.14,random,7,0.875
1,0.15000000000000002,hierarchical clustering,7,0.875
1,0.15000000000000002,k-means,6,0.75
1,0.15000000000000002,random,8,1
1,0.16,hierarchical clustering,7,0.875
1,0.16,k-means,6,0.75
1,0.16,random,8,1
1,0.16999999999999998,hierarchical clustering,8,1
1,0.16999999999999998,k-means,8,1
1,0.16999999999999998,random,8,1
1,0.18,hierarchical clustering,7,0.875
1,0.18,k-means,8,1
1,0.18,random,6,0.75
1,0.19,hierarchical clustering,7,0.875
1,0.19,k-means,6,0.75
1,0.19,random,8,1
1,0.2,hierarchical clustering,8,1
1,0.2,k-means,6,0.75
1,0.2,random,8,1
1,0.21000000000000002,hierarchical clustering,7,0.875
1,0.21000000000000002,k-means,7,0.875
1,0.21000000000000002,random,6,0.75
1,0.22000000000000003,hierarchical clustering,7,0.875
1,0.22000000000000003,k-means,8,1
1,0.22000000000000003,random,8,1
1,0.22999999999999998,hierarchical clustering,7,0.875
1,0.22999999999999998,k-means,7,0.875
1,0.22999999999999998,random,6,0.75
1,0.24,hierarchical clustering,8,1
1,0.24,k-means,7,0.875
1,0.24,random,7,0.875
1,0.25,hierarchical clustering,7,0.875
1,0.25,k-means,7,0.875
1,0.25,random,6,0.75
1,0.26,hierarchical clustering,7,0.875
1,0.26,k-means,8,1
1,0.26,random,7,0.875
1,0.27,hierarchical clustering,7,0.875
1,0.27,k-means,8,1
1,0.27,random,6,0.75
1,0.28,hierarchical clustering,8,1
1,0.28,k-means,8,1
1,0.28,random,7,0.875
1,0.29,hierarchical clustering,8,1
1,0.29,k-means,7,0.875
1,0.29,random,7,0.875
1,0.3,hierarchical clustering,8,1
1,0.3,k-means,7,0.875
1,0.3,random,8,1
1,0.31,hierarchical clustering,8,1
1,0.31,k-means,8,1
1,0.31,random,8,1
1,0.32,hierarchical clustering,7,0.875
1,0.32,k-means,7,0.875
1,0.32,random,7,0.875
1,0.33,hierarchical clustering,8,1
1,0.33,k-means,8,1
1,0.33,random,8,1
1,0.33999999999999997,hierarchical clustering,7,0.875
1,0.33999999999999997,k-means,8,1
1,0.33999999999999997,random,7,0.875
1,0.35,hierarchical clustering,7,0.875
1,0.35,k-means,8,1
1,0.35,random,8,1
1,0.36,hierarchical clustering,7,0.875
1,0.36,k-means,8,1
1,0.36,random,6,0.75
1,0.37,hierarchical clustering,7,0.875
1,0.37,k-means,8,1
1,0.37,random,8,1
